年级	书名	学科	册别	学段	出版社	版本	def_page_index	内容起始页	ISBN	价格	页数
八年级	物理八年级上册（2014版）	物理	上册	初中	江苏科学技术出版社	08版	2	10	978-7-5345-9337-6	0	138
八年级	生物八年级上册（2014版）	生物	上册	初中	江苏科学技术出版社	08版	2	8	978-7-5537-1186-7	0	144
八年级	数学八年级上册（2014秋）	数学	上册	初中	江苏科学技术出版社	08版	2	6	978-7-5537-1190-4	0	182
八年级	英语八年级上册（2014秋）	英语	上册	初中	译林出版社	08版	2	4	978-7-5447-3855-2	0	144
八年级	初中信息技术8年级（2014秋）	信息技术	全一册	初中	江苏科学技术出版社	08版	2	10	978-7-5537-1046-4	0	134
九年级	语文九年级上册	语文	上册	初中	江苏教育出版社	08版	2	20	978-7-5343-4842 -6	6.09	306
九年级	语文九年级下册	语文	下册	初中	江苏教育出版社	08版	2	20	978-7-5343-4841-9	5.76	286
九年级	数学九年级上册	数学	上册	初中	江苏科学技术出版社	08版	2	8	0	0	170
九年级	物理九年级上册	物理	上册	初中	江苏科学技术出版社	08版	2	10	0	0	122
九年级	牛津初中英语九年级上册	英语	上册	初中	译林出版社	08版	2	4	0	0	152
九年级	物理九年级下册	物理	下册	初中	江苏科学技术出版社	08版	2	10	978-7-5345-4632-7	7	122
九年级	英语9B	英语	下册	初中	译林出版社	08版	2	4	978-7-80657-706-6	5.89	102
九年级	数学九年级下册	数学	下册	初中	江苏科学技术出版社	08版	2	8	978-7-5345-4894-9	6.11	106
九年级	思想品德九年级全一册	思想品德	全一册	初中	江苏人民出版社	08版	2	8	978-7-214-04685-7	9.79	174
九年级	语文九年级上册（2012年印刷）	语文	上册	初中	江苏教育出版社	08版	2	22	978-7-5343-4842-6	6.09	310
九年级	语文九年级下册（2008年印刷）	语文	下册	初中	江苏教育出版社	08版	2	22	978-7-5343-4841-9	5.76	290
九年级	物理九年级上册（2013版）	物理	上册	初中	江苏科学技术出版社	08版	2	10	0	0	126
九年级	物理九年级下册（2014版）	物理	下册	初中	江苏科学技术出版社	08版	2	10	978-7-5537-1422-4	0	120
九年级	数学九年级上册(2014)	数学	上册	初中	江苏科学技术出版社	08版	2	8	0	0	160
九年级	英语九年级上册(2014)	英语	上册	初中	译林出版社	08版	2	4	0	0	162
九年级	物理九年级上册（2014版）	物理	上册	初中	江苏科学技术出版社	08版	2	10	978-7-5537-1336-6	0	126
九年级	数学九年级上册（2014秋）	数学	上册	初中	江苏科学技术出版社	08版	2	8	0	0	160
九年级	英语九年级上册（2014秋）	英语	上册	初中	译林出版社	08版	2	4	978-7-5447-2446-3	0	162
九年级	初中信息技术9年级（2014秋）	信息技术	全一册	初中	江苏科学技术出版社	08版	2	12	978-7-5537-1047-1	0	132
九年级	美术九年级上册（2014秋）	美术	上册	初中	江苏少年儿童出版社	08版	2	6	978-7-5346-6761-9	0	54
九年级	音乐九年级上册（简谱）（2014秋）	音乐	上册	初中	江苏少年儿童出版社	08版	2	8	0	0	70
九年级	音乐九年级上册（线谱）（2014秋）	音乐	上册	初中	江苏少年儿童出版社	08版	2	8	0	0	70
初中通用	信息技术初中下册	信息技术	下册	初中	江苏科学技术出版社	08版	2	10	0	0	114
初中通用	信息技术初中上册	信息技术	上册	初中	江苏科学技术出版社	08版	2	10	0	0	118
初中通用	信息技术初中（选修）	信息技术	全一册	初中	江苏科学技术出版社	08版	2	12	0	0	142
必修1	生物必修1（分子与细胞）	生物	全一册	高中	江苏教育出版社	08版	2	12	0	0	122
必修1	数学必修1	数学	全一册	高中	江苏教育出版社	08版	2	10	0	0	108
必修1	技术与设计1（通用技术必修1）	技术与设计	全一册	高中	江苏教育出版社	08版	2	10	0	0	180
